Official Symbol Interactor A,Official Symbol Interactor B
SMARCC2,ARID1B
SMARCC2,ARID2
SMARCC2,BRD7
SMARCC2,DPF2
SMARCC2,KPNA2
SMARCC2,PBRM1
SMARCC2,PHF10
SMARCC2,SMARCA2
SMARCC2,SMARCA4
SMARCC2,SMARCB1
SMARCC2,SMARCC1
SMARCC2,SMARCD1
SMARCC2,SMARCD2
SMARCC2,SMARCD3
SMARCC2,SMARCE1
SMARCE1,ACTL6A
SMARCE1,ARID1A
SMARCE1,ARID1B
SMARCE1,ARID2
SMARCE1,BRD7
SMARCE1,DPF2
SMARCE1,PHF10
SMARCE1,SMARCA2
SMARCE1,SMARCA4
SMARCE1,SMARCB1
SMARCE1,SMARCC1
SMARCE1,SMARCC2
SMARCE1,SMARCD1
SMARCE1,SMARCD2
SMARCE1,SMARCD3
SMARCD1,ACTA1
SMARCD1,ACTL6A
SMARCD1,ARID1A
SMARCD1,ARID1B
SMARCD1,ARID2
SMARCD1,BRD7
SMARCD1,DPF2
SMARCD1,KPNA2
SMARCD1,PBRM1
SMARCD1,PHF10
SMARCD1,SMARCA2
SMARCD1,SMARCA4
SMARCD1,SMARCB1
SMARCD1,SMARCC1
SMARCD1,SMARCC2
SMARCD1,SMARCD2
SMARCD1,SMARCE1
SMARCD1,SS18
CCNT1,CDK9
CDC73,CTR9
CDC73,HSP90AA1
CDC73,LEO1
CDC73,PAF1
CDC73,WDR61
CDK9,ATP1A1
CDK9,CCNT1
CDK9,CCT8
CDK9,CDC37
CDK9,HSP90AA1
CDK9,MARS
CDK9,MSH2
CDK9,P4HA1
CDK9,RPN1
COBRA1,ALDH3A2
COBRA1,ATP1A1
COBRA1,CCT8
COBRA1,MSH2
COBRA1,RDBP
COBRA1,RPN1
CTR9,CDC73
CTR9,LEO1
CTR9,PAF1
CTR9,WDR61
LEO1,CDC73
LEO1,CTR9
LEO1,HADHA
LEO1,HADHB
LEO1,PAF1
LEO1,PPP1CC
LEO1,WDR61
PAF1,CDC73
PAF1,CTR9
PAF1,LEO1
PAF1,WDR61
RBBP5,ASH2L
RBBP5,CXXC1
RBBP5,DPY30
RBBP5,HCFC1
RBBP5,SETD1A
RBBP5,WDR5
RDBP,COBRA1
RDBP,SF3B1
RDBP,TH1L
RDBP,TMEM141
RDBP,WHSC2
RTF1,HADHA
RTF1,HADHB
TH1L,ATP1A1
TH1L,COBRA1
TH1L,RDBP
TH1L,WHSC2
WDR5,ASH2L
WDR5,CXXC1
WDR5,DPY30
WDR5,HCFC1
WDR5,MLL
WDR5,MLL4
WDR5,RBBP5
WDR5,SETD1A
WHSC2,ATP1A1
WHSC2,COBRA1
WHSC2,RDBP
WHSC2,TH1L
KLF4,SMARCA4
NSL1,CBX1
NSL1,CBX3
NSL1,CBX5
CBX5,MIS12
CBX5,DSN1
NSL1,CBX5
NSL1,MIS12
NSL1,DSN1
NSL1,DSN1
NSL1,CASC5
NSL1,CASC5
NSL1,BUB1
NSL1,ZWINT
NSL1,NDC80
CBX5,CBX3
CBX5,AURKB
CBX5,NSL1
SGOL1,NSL1
AURKB,NSL1
MIS12,NSL1
DSN1,NSL1
CASC5,NSL1
BUB1,NSL1
BUB1B,NSL1
MAD2L1,NSL1
NSL1,CBX5
SGOL1,CBX5
SND1,STAT6
SND1,STAT6
NCOA3,ESR1
NCOA3,RFX1
SUMO2,SUMO3
RRM1,KAT5
RRM1,RRM2
RRM1,RRM2B
KAT5,RRM1
RRM1,KAT5
KAT5,RRM1
KAT5,RRM2
ATRX,DAXX
DAXX,ATRX
PIK3CG,SET
SET,PPP2R4
MSH6,MSH2
MSH6,MLH1
MSH6,PMS2
MSH6,PMS1
MLH1,MSH2
MLH1,MSH6
MLH1,PMS2
MLH1,PMS1
MSH2,MSH6
PMS2,MSH2
PMS2,MSH6
PMS1,MSH2
PMS1,MSH6
RUNX1,MLL
MLL,RUNX1
MLL,CBFB
SUMO2,EFTUD2
SUMO2,YWHAB
SUMO2,YWHAQ
SUMO2,YWHAZ
SUMO2,PSMD1
SUMO2,PSMD11
SUMO2,PSMD14
SUMO2,PSMD2
SUMO2,PSMD3
SUMO2,PSMD4
SUMO2,PSMD7
SUMO2,PSMD8
SUMO2,RPS23
SUMO2,RPS27A
SUMO2,RPS5
SUMO2,RPSA
SUMO2,HSPD1
SUMO2,RPLP1
SUMO2,RPLP2
SUMO2,RPL26
SUMO2,RPL31
SUMO2,HSPA5
SUMO2,ANP32B
SUMO2,ANP32E
SUMO2,ACTBL2
SUMO2,SUB1
SUMO2,ATF7IP
SUMO2,ADNP
SUMO2,ACBD6
SUMO2,AK2
SUMO2,ARL2
SUMO2,ANAPC4
SUMO2,ANAPC7
SUMO2,ANKRD35
SUMO2,ANXA2
SUMO2,ANXA4
SUMO2,MKI67
SUMO2,ACIN1
SUMO2,ASS1
SUMO2,RARS
SUMO2,ARMC6
SUMO2,SRRT
SUMO2,AHCTF1
SUMO2,ARID3A
SUMO2,ARID4A
SUMO2,ARID4B
SUMO2,ABCF3
SUMO2,XRCC6
SUMO2,XRCC5
SUMO2,DDX18
SUMO2,DDX39A
SUMO2,ATAD2
SUMO2,ATAD5
SUMO2,ATRIP
SUMO2,BCLAF1
SUMO2,BCOR
SUMO2,BCORL1
SUMO2,CTNNBL1
SUMO2,EPRS
SUMO2,BLVRA
SUMO2,BLM
SUMO2,BRMS1L
SUMO2,BAZ1A
SUMO2,BAZ1B
SUMO2,BAZ2A
SUMO2,BRWD1
SUMO2,BRD4
SUMO2,BRD7
SUMO2,BRD8
SUMO2,BRD9
SUMO2,NACC1
SUMO2,KCTD1
SUMO2,KCTD15
SUMO2,BYSL
SUMO2,CANX
SUMO2,CREB3L2
SUMO2,PDE4D
SUMO2,CASP8AP2
SUMO2,CTNND1
SUMO2,CEBPA
SUMO2,CEBPB
SUMO2,CEBPD
SUMO2,CEBPZ
SUMO2,PNN
SUMO2,NFKB2
SUMO2,FAF1
SUMO2,STIP1
SUMO2,RBBP7
SUMO2,PCBP2
SUMO2,TFCP2
SUMO2,FAM50A
SUMO2,CDK20
SUMO2,CDK1
SUMO2,CDC5L
SUMO2,CCAR1
SUMO2,CDCA2
SUMO2,CENPF
SUMO2,CENPI
SUMO2,MLF1IP
SUMO2,CHD1L
SUMO2,CHDH
SUMO2,CHRAC1
SUMO2,CHAF1A
SUMO2,CBX3
SUMO2,CBX5
SUMO2,CBX8
SUMO2,CHD1
SUMO2,CHD2
SUMO2,CHD3
SUMO2,CHD4
SUMO2,CHD7
SUMO2,CHD8
SUMO2,CHD9
SUMO2,C11orf30
SUMO2,KIF4A
SUMO2,KIF4B
SUMO2,LUC7L3
SUMO2,BHLHE40
SUMO2,CPSF2
SUMO2,COPG
SUMO2,CFL1
SUMO2,NSRP1
SUMO2,KIAA1826
SUMO2,COIL
SUMO2,GEMIN4
SUMO2,H2AFY
SUMO2,CKB
SUMO2,CRTC3
SUMO2,CELF1
SUMO2,ATF7
SUMO2,RPRD1A
SUMO2,DCUN1D5
SUMO2,DAXX
SUMO2,DIDO1
SUMO2,DNTTIP1
SUMO2,DNTTIP2
SUMO2,DCD
SUMO2,DSTN
SUMO2,DIEXF
SUMO2,DHFR
SUMO2,DLGAP5
SUMO2,DNMT1
SUMO2,ERCC6
SUMO2,LIG1
SUMO2,LIG3
SUMO2,MSH2
SUMO2,MSH6
SUMO2,POLE3
SUMO2,POLD3
SUMO2,POLA1
SUMO2,PRIM2
SUMO2,RAD54B
SUMO2,MCM2
SUMO2,MCM3
SUMO2,MCM4
SUMO2,MCM7
SUMO2,TOP1
SUMO2,TOP2A
SUMO2,TOP2B
SUMO2,TOPBP1
SUMO2,APEX1
SUMO2,CD3EAP
SUMO2,POLR3D
SUMO2,POLR3E
SUMO2,POLR2H
SUMO2,XPC
SUMO2,ERCC5
SUMO2,XRCC1
SUMO2,XRCC4
SUMO2,DNAJA1
SUMO2,DNAJC8
SUMO2,MRE11A
SUMO2,ADAR
SUMO2,DYNLL1
SUMO2,CBX4
SUMO2,NSMCE2
SUMO2,PIAS1
SUMO2,PIAS4
SUMO2,RANBP2
SUMO2,RNF20
SUMO2,RNF40
SUMO2,RAD18
SUMO2,TOPORS
SUMO2,TRIM33
SUMO2,UBR5
SUMO2,UHRF1
SUMO2,UHRF2
SUMO2,EEF1A1
SUMO2,SH3GLB1
SUMO2,EPPK1
SUMO2,ERCC4
SUMO2,ESF1
SUMO2,ERF
SUMO2,ETV5
SUMO2,ELF1
SUMO2,ELF2
SUMO2,ELF3
SUMO2,EIF4A3
SUMO2,EIF3E
SUMO2,EIF3G
SUMO2,EIF3J
SUMO2,EIF3K
SUMO2,EIF3M
SUMO2,EIF5A
SUMO2,DIS3
SUMO2,EXOSC9
SUMO2,EXOSC10
SUMO2,XPO1
SUMO2,CSE1L
SUMO2,SUPT16H
SUMO2,SSRP1
SUMO2,FANCI
SUMO2,FANCD2
SUMO2,FDPS
SUMO2,FTH1
SUMO2,FGA
SUMO2,FN1
SUMO2,FIGNL1
SUMO2,FLNA
SUMO2,FEN1
SUMO2,FOXC1
SUMO2,FOXC2
SUMO2,FOXM1
SUMO2,FOXP1
SUMO2,FOXP4
SUMO2,FNBP4
SUMO2,FOSL2
SUMO2,FXR1
SUMO2,ALDOA
SUMO2,GPATCH4
SUMO2,TDG
SUMO2,GABPA
SUMO2,LGALS1
SUMO2,GCFC1
SUMO2,GCFC2
SUMO2,GTF3C1
SUMO2,GTF3C2
SUMO2,GTF3C3
SUMO2,GTF3C4
SUMO2,GTF2I
SUMO2,RABGGTB
SUMO2,GMEB1
SUMO2,NR3C1
SUMO2,QSER1
SUMO2,QRICH1
SUMO2,GLRX3
SUMO2,GMPS
SUMO2,GON4L
SUMO2,GTF2IRD1
SUMO2,GNL3
SUMO2,NHP2
SUMO2,HIST1H2BK
SUMO2,HEATR1
SUMO2,HEATR2
SUMO2,HEATR3
SUMO2,BRAT1
SUMO2,HSPA1A
SUMO2,HSPA8
SUMO2,HSF1
SUMO2,HSF2
SUMO2,RAD54L2
SUMO2,FOXA1
SUMO2,HP1BP3
SUMO2,HNRNPA0
SUMO2,HNRNPA3
SUMO2,HNRNPCL1
SUMO2,RBMX
SUMO2,HNRNPL
SUMO2,HNRNPM
SUMO2,SYNCRIP
SUMO2,HNRNPR
SUMO2,HNRNPA2B1
SUMO2,HNRNPC
SUMO2,HMGB1
SUMO2,HDAC1
SUMO2,SAP130
SUMO2,SAP18
SUMO2,KDM5B
SUMO2,HIST1H1C
SUMO2,HIST1H2AJ
SUMO2,HIST3H2BB
SUMO2,WHSC1L1
SUMO2,SETDB1
SUMO2,ZNHIT6
SUMO2,HTATSF1
SUMO2,BBX
SUMO2,HOMEZ
SUMO2,CUX1
SUMO2,HOXC10
SUMO2,SIX4
SUMO2,HMBOX1
SUMO2,KRR1
SUMO2,ST13
SUMO2,KPNA2
SUMO2,IPO5
SUMO2,IPO7
SUMO2,INADL
SUMO2,INTS12
SUMO2,INTS3
SUMO2,INTS4
SUMO2,IRF2BP1
SUMO2,IRF2
SUMO2,IRF2BP2
SUMO2,ILF2
SUMO2,IWS1
SUMO2,KDM3B
SUMO2,SLC4A1AP
SUMO2,SMCHD1
SUMO2,KIF16B
SUMO2,KIF22
SUMO2,LMNA
SUMO2,LMNB1
SUMO2,TMPO
SUMO2,LAS1L
SUMO2,L3MBTL2
SUMO2,SSB
SUMO2,HELLS
SUMO2,KDM1A
SUMO2,CENPB
SUMO2,MBIP
SUMO2,MBTD1
SUMO2,MDC1
SUMO2,MED7
SUMO2,MED8
SUMO2,MAGEA3
SUMO2,MTA2
SUMO2,MBD1
SUMO2,MBD4
SUMO2,MECP2
SUMO2,MITF
SUMO2,MGST3
SUMO2,MASTL
SUMO2,MTCH2
SUMO2,TIMM13
SUMO2,TIMM23
SUMO2,MAPK14
SUMO2,MKL1
SUMO2,MORC2
SUMO2,MORC3
SUMO2,MSL1
SUMO2,MYBBP1A
SUMO2,MEF2D
SUMO2,MYLK2
SUMO2,MYL6
SUMO2,MYL12B
SUMO2,FAM192A
SUMO2,WHSC2
SUMO2,TH1L
SUMO2,AHNAK
SUMO2,NGDN
SUMO2,NKAP
SUMO2,NKRF
SUMO2,NFAT5
SUMO2,NFATC2IP
SUMO2,NAB1
SUMO2,NAB2
SUMO2,NIPBL
SUMO2,NOSIP
SUMO2,NONO
SUMO2,NSMCE1
SUMO2,SP100
SUMO2,NASP
SUMO2,NFIC
SUMO2,NFIL3
SUMO2,NFRKB
SUMO2,NUP107
SUMO2,NUP153
SUMO2,NUP155
SUMO2,NUP93
SUMO2,SARNP
SUMO2,GLYR1
SUMO2,NCOA2
SUMO2,NCOR1
SUMO2,NCOR2
SUMO2,NVL
SUMO2,NOC2L
SUMO2,GTPBP4
SUMO2,GNL2
SUMO2,NOLC1
SUMO2,NOP14
SUMO2,NOP58
SUMO2,ZCCHC17
SUMO2,UBTF
SUMO2,NCL
SUMO2,NPM1
SUMO2,NPM3
SUMO2,TPR
SUMO2,NAP1L1
SUMO2,BPTF
SUMO2,OGFR
SUMO2,ORC2
SUMO2,ORC3
SUMO2,ORC6
SUMO2,SIN3B
SUMO2,CDC73
SUMO2,PASD1
SUMO2,PSIP1
SUMO2,PPIE
SUMO2,PRDX1
SUMO2,PES1
SUMO2,PHIP
SUMO2,PHF10
SUMO2,PHF14
SUMO2,CDK11B
SUMO2,SERBP1
SUMO2,PARP1
SUMO2,PARP4
SUMO2,PCBP1
SUMO2,PUF60
SUMO2,SUZ12
SUMO2,PHC3
SUMO2,PTBP1
SUMO2,PTBP2
SUMO2,PCF11
SUMO2,CLP1
SUMO2,PRPF40A
SUMO2,PRPF6
SUMO2,PRPF8
SUMO2,DHX38
SUMO2,ISY1
SUMO2,TSR1
SUMO2,TSR2
SUMO2,DDX20
SUMO2,DDX23
SUMO2,DDX46
SUMO2,DDX47
SUMO2,DDX52
SUMO2,SMARCA2
SUMO2,SMARCA4
SUMO2,SETX
SUMO2,ASH1L
SUMO2,RBM19
SUMO2,RBM25
SUMO2,PML
SUMO2,TRUB1
SUMO2,PDCD4
SUMO2,PSMA4
SUMO2,PSMA5
SUMO2,PSMB2
SUMO2,AATF
SUMO2,ETS1
SUMO2,CASC5
SUMO2,DEK
SUMO2,DTX3L
SUMO2,DIAPH3
SUMO2,P4HB
SUMO2,FRG1
SUMO2,KIAA1967
SUMO2,ZMYND8
SUMO2,KRI1
SUMO2,LIN37
SUMO2,LTV1
SUMO2,MYSM1
SUMO2,NPAT
SUMO2,PPM1G
SUMO2,PBRM1
SUMO2,IK
SUMO2,PRC1
SUMO2,PDCD11
SUMO2,SBNO1
SUMO2,TIMELESS
SUMO2,PTMA
SUMO2,FOS
SUMO2,PRPF18
SUMO2,PUS7
SUMO2,KIAA0020
SUMO2,RBM15
SUMO2,SCAF8
SUMO2,FTSJ3
SUMO2,C16orf88
SUMO2,SLX4
SUMO2,LIN54
SUMO2,CDKN2AIP
SUMO2,PIAS3
SUMO2,C11orf84
SUMO2,STAG2
SUMO2,BCL7C
SUMO2,RANGAP1
SUMO2,RANBP3
SUMO2,RANBP6
SUMO2,G3BP2
SUMO2,RAB18
SUMO2,RAB1A
SUMO2,RREB1
SUMO2,PTBP3
SUMO2,RSF1
SUMO2,RFC1
SUMO2,RPA1
SUMO2,RCOR1
SUMO2,RP9
SUMO2,RBBP6
SUMO2,ARHGDIA
SUMO2,ARHGAP11A
SUMO2,ARHGEF3
SUMO2,POP1
SUMO2,BMS1
SUMO2,RNF169
SUMO2,IRF2BPL
SUMO2,RPAP3
SUMO2,LEO1
SUMO2,RTF1
SUMO2,PHAX
SUMO2,RBM10
SUMO2,RBM26
SUMO2,RBM28
SUMO2,RBM39
SUMO2,RBM4
SUMO2,RBM5
SUMO2,RBM6
SUMO2,RBM8A
SUMO2,RRP1B
SUMO2,RRP12
SUMO2,RRP15
SUMO2,RSL1D1
SUMO2,RUVBL1
SUMO2,RUVBL2
SUMO2,SKP1
SUMO2,SRBD1
SUMO2,SALL1
SUMO2,SALL4
SUMO2,SAP30BP
SUMO2,SAFB
SUMO2,SAFB2
SUMO2,SRRM2
SUMO2,PPP2R5D
SUMO2,PPP2R1A
SUMO2,PPP2R1B
SUMO2,SCML2
SUMO2,SH2D4A
SUMO2,STAT1
SUMO2,STAT6
SUMO2,SUDS3
SUMO2,SNIP1
SUMO2,SNRPE
SUMO2,SNRPG
SUMO2,SNRPD1
SUMO2,SNRPD2
SUMO2,SNRPD3
SUMO2,UTP20
SUMO2,SUMO1
SUMO2,SUMO2
SUMO2,SNRPB
SUMO2,SLC2A1
SUMO2,SON
SUMO2,SNX3
SUMO2,SPG20
SUMO2,SF3A1
SUMO2,SF3B1
SUMO2,SF3B2
SUMO2,RBM17
SUMO2,TRA2B
SUMO2,SFPQ
SUMO2,STAG1
SUMO2,SUPT7L
SUMO2,SND1
SUMO2,ESRRA
SUMO2,STUB1
SUMO2,SMC5
SUMO2,SAE1
SUMO2,UBA2
SUMO2,UBE2I
SUMO2,SUGT1
SUMO2,SUPT3H
SUMO2,SMARCC1
SUMO2,SMARCAD1
SUMO2,SMARCA5
SUMO2,SMARCB1
SUMO2,SMARCC2
SUMO2,HMG20B
SUMO2,SMARCE1
SUMO2,SYMPK
SUMO2,TARDBP
SUMO2,TPX2
SUMO2,BTAF1
SUMO2,RIF1
SUMO2,TERF2IP
SUMO2,TXN
SUMO2,THOC1
SUMO2,THOC2
SUMO2,TYMS
SUMO2,THRAP3
SUMO2,TDP2
SUMO2,TALDO1
SUMO2,SUPT5H
SUMO2,SUPT6H
SUMO2,TCERG1
SUMO2,TCF20
SUMO2,JUN
SUMO2,TFAP2A
SUMO2,TFAP2C
SUMO2,TFAP4
SUMO2,ETV6
SUMO2,JUNB
SUMO2,JUND
SUMO2,MAFF
SUMO2,MAFG
SUMO2,MAFK
SUMO2,SP3
SUMO2,TAF9
SUMO2,TRIM24
SUMO2,TRIM28
SUMO2,TADA3
SUMO2,TEAD4
SUMO2,ATRX
SUMO2,ZBTB33
SUMO2,CTCF
SUMO2,GATAD2A
SUMO2,YY2
SUMO2,TRERF1
SUMO2,TFRC
SUMO2,TRRAP
SUMO2,TRA2A
SUMO2,TAGLN2
SUMO2,VCP
SUMO2,TPT1
SUMO2,TSNAX
SUMO2,ZMYM6
SUMO2,NSUN2
SUMO2,PUS1
SUMO2,TMOD3
SUMO2,TTLL12
SUMO2,TFIP11
SUMO2,TP53BP1
SUMO2,TDP1
SUMO2,SNRPA1
SUMO2,U2SURP
SUMO2,MPHOSPH10
SUMO2,UTP14A
SUMO2,PRPF3
SUMO2,SART1
SUMO2,USP39
SUMO2,SNRNP200
SUMO2,LSM2
SUMO2,USP1
SUMO2,USP11
SUMO2,USP28
SUMO2,USP5
SUMO2,UCHL5
SUMO2,USP7
SUMO2,USP14
SUMO2,CDC34
SUMO2,UBE2T
SUMO2,UBE2K
SUMO2,UBA1
SUMO2,UBXN7
SUMO2,WBSCR22
SUMO2,ANXA5
SUMO2,C10orf46
SUMO2,C12orf5
SUMO2,PROSER1
SUMO2,SKA3
SUMO2,C14orf43
SUMO2,C15orf39
SUMO2,C17orf85
SUMO2,C18orf25
SUMO2,MEAF6
SUMO2,C21orf59
SUMO2,FAM208A
SUMO2,C7orf50
SUMO2,CLSPN
SUMO2,PELP1
SUMO2,RXRB
SUMO2,FAM122B
SUMO2,KDM2B
SUMO2,H2AFV
SUMO2,HCFC1
SUMO2,RPRD2
SUMO2,BEND3
SUMO2,UBN2
SUMO2,KIF23
SUMO2,MATR3
SUMO2,MPHOSPH8
SUMO2,MYBL2
SUMO2,NEDD8
SUMO2,NOP2
SUMO2,NUP133
SUMO2,PRDX2
SUMO2,RAI1
SUMO2,RBM12B
SUMO2,SET
SUMO2,SCAF11
SUMO2,SLTM
SUMO2,SUMO3
SUMO2,TFPT
SUMO2,UIMC1
SUMO2,VPS72
SUMO2,ZNF281
SUMO2,C3orf37
SUMO2,UBP1
SUMO2,ATP6V1A
SUMO2,SEC22B
SUMO2,HDLBP
SUMO2,WDHD1
SUMO2,WDR12
SUMO2,WDR3
SUMO2,WDR43
SUMO2,WDR5
SUMO2,WRN
SUMO2,WAPAL
SUMO2,XBP1
SUMO2,XAB2
SUMO2,YEATS2
SUMO2,YY1AP1
SUMO2,ZBTB10
SUMO2,ZBTB40
SUMO2,ZC3H14
SUMO2,ZBTB2
SUMO2,ZBTB4
SUMO2,ZBTB7A
SUMO2,ZBTB9
SUMO2,ZBED1
SUMO2,ZC3H11A
SUMO2,ZEB1
SUMO2,ZFHX3
SUMO2,ZMIZ2
SUMO2,ZMYM1
SUMO2,ZMYM4
SUMO2,ZFP106
SUMO2,ZNF148
SUMO2,ZNF24
SUMO2,ZNF280C
SUMO2,ZNF295
SUMO2,ZNF318
SUMO2,ZNF451
SUMO2,ZNF644
SUMO2,ZNF687
SUMO2,ZFP91
SUMO2,BNC2
SUMO2,CHAMP1
SUMO2,RLF
SUMO2,DPF2
SUMO2,ZKSCAN1
SUMO2,ZHX1
SUMO2,ELAC2
PPP2R1A,HDA14
NPM1,CENPA
NPM1,HIST1H3A
NPM1,HIST1H4A
NPM1,CENPA
NPM1,HIST1H3A
NPM1,HIST1H4A
HJURP,CENPA
HJURP,HIST1H4A
CENPA,PRKDC
CENPA,HNRNPU
CENPA,HJURP
CENPA,DDX3X
CENPA,XRCC5
CENPA,DDX5
CENPA,DDX17
CENPA,RUVBL1
CENPA,RUVBL2
CENPA,EIF4A1
CENPA,NPM1
CENPA,HIST1H2AB
CENPA,HIST1H2BB
CENPA,HIST1H4A
HIST1H3E,PRKDC
HIST1H3E,PARP1
HIST1H3E,XRCC5
HIST1H3E,XRCC6
HIST1H3E,RBBP7
HIST1H3E,RBBP4
HIST1H3E,HAT1
HIST1H3E,HIST1H2AB
HIST1H3E,HIST1H2BB
HIST1H3E,HIST1H4A
HJURP,RUVBL1
HJURP,RUVBL2
HJURP,RBBP7
HJURP,RBBP4
HJURP,NPM1
HJURP,CENPA
HJURP,HIST1H4A
CENPA,HJURP
CENPA,NPM1
HJURP,CENPA
HJURP,HIST1H4A
HSP90AA1,ERBB2
HSP90AA1,CDK4
HSP90AA1,SRC
HSP90AA1,AHSA1
HSP90AA1,STIP1
HSP90AA1,PTGES3
HSP90AA1,CDC37
HSP90AA1,AHSA1
RWDD1,DRG2
DRG1,UBC
DRG2,UBC
Tcf3,UBC
Stub1,CUL1
Stub1,SKP2
SKP2,CUL1
SKP2,SKP1
SKP2,TCF3
SKP2,STUB1
SKP2,DNAJB5
UBC,ID3
ARNTL,CLOCK
CREBBP,STAT1
STAT1,EP300
TRIM24,AR
AR,TRIM24
BRD7,TRIM24
TRIM24,BRD7
MAPK3,FASN
MAPK3,HADH
MAPK3,PRDX3
MAPK3,ATP5B
MAPK3,VDAC1
MAPK3,HIST1H2AB
MAPK3,HIST1H4A
MAPK3,VDAC1
MAPK3,HIST1H2AB
MAPK3,HIST1H4A
MAPK1,HIST1H2AB
MAPK1,HIST1H4A
MAPK1,VDAC1
MAPK3,MAPK3
STAT1,JAK2
STAT3,JAK2
JUN,ITCH
RUNX3,NOTCH1
RUNX3,RBPJ
NOTCH1,RUNX3
NOTCH1,RBPJ
RBPJ,RUNX3
RBPJ,NOTCH1
RUNX3,NOTCH1
RUNX3,NOTCH1
CKS1B,CDK1
CKS1B,CDK2
CKS1B,CCNA1
CKS1B,CCNB1
CKS1B,CCNB2
CKS1B,SSBP1
CKS1B,HSP90AA1
CKS1B,CDC37
CKS1B,SKP2
CKS1B,SKP1
CKS1B,CUL1
CKS1B,LDHB
CKS2,CDK1
CKS2,CDK2
CKS2,CCNA1
CKS2,CCNB1
CKS2,CCNB2
CKS2,SSBP1
CKS2,HSP90AA1
CKS2,CDC37
CKS2,LDHB
CKS2,SSBP1
CDK1,SSBP1
ATM,KAT5
KAT5,HIST3H3
KAT5,HIST3H3
JAK2,HIST3H3
KAT5,HIST1H4A
CBX5,HIST1H3A
CBX5,HIST1H3A
KAT2B,CDK2
CDK2,KAT2B
CDK2,CCNA2
KAT2B,CDK2
KAT2A,CDK2
RUNX2,RBM14
RUNX2,RBM14
RUNX2,RBM14
RUNX1,RBM14
PYGO2,CREBBP
PYGO2,CREBBP
CREBBP,PYGO2
NCOA3,ESR1
ESR1,NCOA3
NCOA3,ESR1
ESR1,NCOA3
PGR,NCOA3
KAT5,PDCD5
PDCD5,KAT5
CCNE1,CDK2
CCNE1,CALM1
ATM,RNF20
ATM,RNF40
RNF40,RNF20
RNF40,ATM
RNF20,RNF40
ATM,RNF40
ATM,RNF20
ATM,RNF40
ATM,RNF20
POLR2C,Atf7ip
POLR2D,Atf7ip
POLR2G,Atf7ip
POLR2H,Atf7ip
LMNA,PRKDC
LMNA,LMNB1
TP53,AGT
NCAPG,SMC4
NCAPG,NCAPD2
NCAPG,SMC2
NCAPG,NCAPH
CDK1,NCAPD2
CDK1,NCAPG
CDK1,NCAPH
RNF4,SUMO2
RNF4,TRIM28
RNF4,PML
RNF4,SART1
RNF4,UHRF1
SUMO2,AATF
SUMO2,ABCF1
SUMO2,ACSL3
SUMO2,ACTG1
SUMO2,ADAR
SUMO2,ADNP
SUMO2,AKAP8
SUMO2,AKAP8L
SUMO2,AP2B1
SUMO2,ATAD2
SUMO2,ATP2A2
SUMO2,ATRX
SUMO2,BAZ1A
SUMO2,BAZ1B
SUMO2,BAZ2A
SUMO2,BEND3
SUMO2,BOP1
SUMO2,BRD4
SUMO2,BTAF1
SUMO2,C11orf84
SUMO2,CAND1
SUMO2,CANX
SUMO2,CAPN1
SUMO2,CBX4
SUMO2,CDK11B
SUMO2,CENPB
SUMO2,CHD3
SUMO2,CHD4
SUMO2,CHTF18
SUMO2,CLTC
SUMO2,COPA
SUMO2,CPNE1
SUMO2,CPT1A
SUMO2,CSE1L
SUMO2,CTDP1
SUMO2,CTPS
SUMO2,CWC22
SUMO2,CXXC1
SUMO2,DAXX
SUMO2,DDX1
SUMO2,DDX17
SUMO2,DDX18
SUMO2,DDX23
SUMO2,DDX24
SUMO2,DDX39A
SUMO2,DDX3X
SUMO2,DDX41
SUMO2,DDX46
SUMO2,DDX5
SUMO2,DHX15
SUMO2,DHX36
SUMO2,DHX9
SUMO2,DIS3
SUMO2,DMBT1
SUMO2,DNMT1
SUMO2,PDCD6IP
SUMO2,DUS3L
SUMO2,KIAA0368
SUMO2,EEF1A1
SUMO2,EEF2
SUMO2,EFTUD2
SUMO2,EIF2S3
SUMO2,EIF4A1
SUMO2,EIF4G1
SUMO2,EXOSC10
SUMO2,EXOSC9
SUMO2,FAM129B
SUMO2,FANCI
SUMO2,FASN
SUMO2,FEN1
SUMO2,FLNA
SUMO2,GANAB
SUMO2,GATAD2B
SUMO2,GBE1
SUMO2,GLT25D1
SUMO2,GMEB1
SUMO2,GMPS
SUMO2,GTF2I
SUMO2,GTF3C1
SUMO2,GTF3C3
SUMO2,GTF3C4
SUMO2,GTPBP4
SUMO2,HADHA
SUMO2,HCFC1
SUMO2,HEATR2
SUMO2,HIST1H1C
SUMO2,HIST1H1E
SUMO2,HNRNPC
SUMO2,HNRNPF
SUMO2,HNRNPH1
SUMO2,HNRNPK
SUMO2,HNRNPL
SUMO2,HNRNPM
SUMO2,HNRNPU
SUMO2,HNRNPUL1
SUMO2,HNRNPUL2
SUMO2,HNRPLL
SUMO2,HP1BP3
SUMO2,HSP90AB1
SUMO2,HSPA5
SUMO2,HSPA8
SUMO2,HSPA9
SUMO2,IFI16
SUMO2,ILF3
SUMO2,IMMT
SUMO2,INTS1
SUMO2,INTS12
SUMO2,INTS3
SUMO2,IPO4
SUMO2,IPO5
SUMO2,IPO7
SUMO2,IRF2BP1
SUMO2,KARS
SUMO2,KDM1A
